name,x,y,-10000,-9750,-9500,-5750,-5500,-5250,-5000,-4750,-4500,-4250,-4000,-3750,-3500,-3250,-3000,-2750,-2500,-2250,-2000,-1750,-1500,-1250,-1000,-750,-500,-250,0,250,500,750,1000,1250,1500,1750
"Hamina",510906.2341,6714794.2756,,13.6134,35.346,27.2701,1.4125,1.4067,0.9117,-0.3743,-0.0525,0.5757,1.5095,0.9481,0.9907,0.5369,0.4863,1.1883,1.1428,1.0993,1.0577,0.8678,0.9293,0.6922,0.8562,0.8213,0.8874,0.7544,0.8221,0.9906,1.2597,0.6294,0.2996,1.9704,0.5416,0.6132
"Hanko",273487.5128,6638619.3404,,17.188,39.2145,50.9141,2.057,2.0196,1.4968,0.186,0.4853,1.0932,2.0083,1.4296,1.4563,0.9875,0.9227,1.6114,1.5531,1.4975,1.4443,1.2431,1.2938,1.0461,1.1999,1.1551,1.2114,1.0689,1.1273,1.2865,1.5466,0.9074,0.5689,2.2309,0.7936,0.8567
"Helsinki",386487.1388,6672246.9518,,13.934,35.6959,33.2197,1.7249,1.71,1.2064,-0.0877,0.2263,0.8471,1.7737,1.2054,1.2414,0.7812,0.7242,1.4202,1.3687,1.3195,1.2722,1.0768,1.1329,0.8904,1.0492,1.0091,1.0701,0.932,0.9947,1.1582,1.4224,0.7873,0.4527,2.1187,0.6852,0.7521
"Kokkola",309852.1837,7084528.9155,,13.6103,40.004,195.173,5.9353,5.5746,4.7816,3.2425,3.3468,3.7862,4.5542,3.8459,3.7572,3.1848,3.0262,3.6292,3.4921,3.3636,3.2423,2.9774,2.968,2.6633,2.7629,2.6661,2.6726,2.4821,2.4941,2.6084,2.8247,2.1429,1.7628,3.3842,1.9069,1.9308
"Kristiinankaupunki",208333.4066,6917198.0948,,14.4326,40.9277,189.7624,5.6383,5.2971,4.5195,2.9929,3.1074,3.5554,4.331,3.6293,3.5465,2.9796,2.8261,3.4339,3.3014,3.1773,3.0603,2.7996,2.7943,2.4938,2.5974,2.5047,2.5152,2.3287,2.3447,2.463,2.6834,2.0056,1.6295,3.2549,1.7816,1.8096
"Maarianhamina",107580.3684,6683266.968,,17.1994,43.4424,130.0424,3.6367,3.4687,2.8357,1.431,1.6496,2.1872,3.0406,2.4074,2.3854,1.8728,1.7683,2.4208,2.3293,2.2429,2.161,1.9331,1.9587,1.6872,1.8186,1.7522,1.7881,1.6258,1.6652,1.8062,2.0486,1.3922,1.0369,2.6827,1.2294,1.277
"Oulu",427776.3745,7211251.3808,,13.7431,40.1886,189.9453,5.6553,5.3093,4.5286,2.9999,3.1133,3.5606,4.3359,3.6341,3.5514,2.9846,2.8313,3.4394,3.3072,3.1833,3.0666,2.8061,2.801,2.5006,2.6043,2.5117,2.5223,2.3358,2.3518,2.4701,2.6904,2.0126,1.6364,3.2617,1.7883,1.8161
"Pori",222936.1255,6828302.4566,,15.3145,41.9258,161.3591,4.5731,4.3279,3.6306,2.1715,2.3436,2.8412,3.6597,2.9956,2.9461,2.4089,2.2821,2.9141,2.8038,2.6999,2.6018,2.3586,2.3697,2.0845,2.2027,2.1239,2.1477,1.9738,2.0019,2.132,2.3637,1.6969,1.3315,2.9673,1.5042,1.5421
"Rovaniemi",443428.351,7375625.1972,,13.5095,39.9061,195.0359,5.7846,5.402,4.591,3.0376,3.1304,3.5609,4.3221,3.6086,3.5163,2.9416,2.7817,3.3844,3.2477,3.1203,3.0007,2.738,2.7313,2.4297,2.5327,2.4396,2.4502,2.2638,2.2803,2.3992,2.6204,1.9436,1.5685,3.1951,1.7232,1.7526
"Tornio",369605.287,7306152.4385,,13.117,39.371,208.3827,6.4593,6.016,5.155,3.5596,3.6171,4.0173,4.7524,4.0162,3.9038,3.3112,3.1353,3.7233,3.5734,3.4336,3.3027,3.0293,3.0125,2.7014,2.7953,2.6936,2.6958,2.5015,2.5102,2.6216,2.8355,2.1516,1.7696,3.3894,1.9108,1.9336
"Turku",240460.6331,6711046.6297,,17.4701,43.3454,111.1802,3.134,3.0063,2.4075,1.0321,1.2761,1.8359,2.709,2.0931,2.0867,1.5882,1.4965,2.1606,2.0799,2.0034,1.9308,1.7116,1.7453,1.4816,1.6202,1.5608,1.6033,1.4474,1.493,1.6398,1.8879,1.2371,0.8872,2.5382,1.09,1.1425
"Vaasa",228030.991,7007534.1587,,14.0023,40.3954,201.0528,6.1517,5.7658,4.951,3.3933,3.4815,3.907,4.6631,3.9443,3.8464,3.266,3.1003,3.6971,3.5544,3.4209,3.2952,3.0263,3.0133,2.7055,2.8021,2.7027,2.7069,2.5141,2.5241,2.6366,2.8513,2.168,1.7865,3.4066,1.9282,1.951
